supplement_id,name,vendor_code,class,external_ref_id,active,description,vendor,dosage_form,strength,unit,additional_object,additional_id,additional_nicknames,additional_type,additional_charge,additional_plan_ordering_instructions,additional_addedby,additional_dateupdated,additional_url_supplement_details,additional_inactive,additional_created
170,Klaire Therbiotic Saccharomyces,,fullscript,381debcd-c0ed-47c3-82ad-1a12be22774b,True,,,,,,supplement,170,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/170,False,2017-03-29 22:22:22
171,Klaire Vitaspectrum,,mdhq-default,,True,,,,,,supplement,171,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/171,False,2017-03-29 22:22:22
172,Klaire Women's Therbiotic,,mdhq-default,,True,,,,,,supplement,172,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/172,False,2017-03-29 22:22:22
173,Metagenics Cortico-B5B6,,mdhq-default,,True,,,,,,supplement,173,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/173,False,2017-03-29 22:22:22
174,Metagenics E Complex,,mdhq-default,,True,,,,,,supplement,174,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/174,False,2017-03-29 22:22:22
175,Metagenics ImmuCore,,mdhq-default,,True,,,,,,supplement,175,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/175,False,2017-03-29 22:22:22
176,Metagenics Inflavonoid IntCare,,mdhq-default,,True,,,,,,supplement,176,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/176,False,2017-03-29 22:22:22
177,Metagenics Kaprex,,mdhq-default,,True,,,,,,supplement,177,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/177,False,2017-03-29 22:22:22
178,Metagenics L-Carnitine,,mdhq-default,,True,,,,,,supplement,178,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/178,False,2017-03-29 22:22:22
179,Metagenics Licorice Plus,,mdhq-default,,True,,,,,,supplement,179,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/179,False,2017-03-29 22:22:22
180,Metagenics Meta Lipoate,,mdhq-default,,True,,,,,,supplement,180,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/180,False,2017-03-29 22:22:22
181,Metagenics Mycoferon,,mdhq-default,,True,,,,,,supplement,181,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/181,False,2017-03-29 22:22:22
182,Metagenics Phytoganix,,mdhq-default,,True,,,,,,supplement,182,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/182,False,2017-03-29 22:22:22
183,Metagenics Ultracare for Kids,,mdhq-default,,True,,,,,,supplement,183,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/183,False,2017-03-29 22:22:22
184,Metagenics UltraClear,,mdhq-default,,True,,,,,,supplement,184,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/184,False,2017-03-29 22:22:22
185,Metagenics UltraClear Plus,,mdhq-default,,True,,,,,,supplement,185,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/185,False,2017-03-29 22:22:22
186,Metagenics Zinlori,,mdhq-default,,True,,,,,,supplement,186,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/186,False,2017-03-29 22:22:22
187,Nordic Naturals DHA Junior,,mdhq-default,,True,,,,,,supplement,187,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/187,False,2017-03-29 22:22:22
188,Nordic Naturals Omega 3 Gummies,,mdhq-default,,True,,,,,,supplement,188,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/188,False,2017-03-29 22:22:22
189,Nordic Naturals ProOmega Junior,,mdhq-default,,True,,,,,,supplement,189,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/189,False,2017-03-29 22:22:22
190,Perque Detox IN Guard,,mdhq-default,,True,,,,,,supplement,190,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/190,False,2017-03-29 22:22:22
191,Perque Life Guard,,mdhq-default,,True,,,,,,supplement,191,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/191,False,2017-03-29 22:22:22
192,Perque Mg Plus Guard,,mdhq-default,,True,,,,,,supplement,192,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/192,False,2017-03-29 22:22:22
193,Perque Potent C Guard Powder,,mdhq-default,,True,,,,,,supplement,193,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/193,False,2017-03-29 22:22:22
194,Perque Zinc & Throat Lozenge,,mdhq-default,,True,,,,,,supplement,194,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/194,False,2017-03-29 22:22:22
195,Peter Gillham Calm plus Calcium,,mdhq-default,,True,,,,,,supplement,195,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/195,False,2017-03-29 22:22:22
196,Peter Gillham Kids Calm,,mdhq-default,,True,,,,,,supplement,196,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/196,False,2017-03-29 22:22:22
197,Peter Gillham Natural Calm Flav,,mdhq-default,,True,,,,,,supplement,197,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/197,False,2017-03-29 22:22:22
198,Peter Gillham Org Life Vit 30oz,,mdhq-default,,True,,,,,,supplement,198,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/198,False,2017-03-29 22:22:22
199,Prothera Ashwagandha,,mdhq-default,,True,,,,,,supplement,199,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/199,False,2017-03-29 22:22:22
200,Pure Buffered Ascorbic Acid,,mdhq-default,,True,,,,,,supplement,200,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/200,False,2017-03-29 22:22:22
201,Pure Glucosamin & Chond + MSM,,mdhq-default,,True,,,,,,supplement,201,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/201,False,2017-03-29 22:22:22
202,Pure Petadolex,,mdhq-default,,True,,,,,,supplement,202,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/202,False,2017-03-29 22:22:22
203,Pure Selenium,,mdhq-default,,True,,,,,,supplement,203,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/203,False,2017-03-29 22:22:22
204,Res Nut Transfer Factor PlasMyc,,mdhq-default,,True,,,,,,supplement,204,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/204,False,2017-03-29 22:22:22
205,Res Nutritionals Boluoke,,mdhq-default,,True,,,,,,supplement,205,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/205,False,2017-03-29 22:22:22
206,Res Nutritionals RibosCardio,,mdhq-default,,True,,,,,,supplement,206,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/206,False,2017-03-29 22:22:22
207,SP A-F Betafood,,mdhq-default,,True,,,,,,supplement,207,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/207,False,2017-03-29 22:22:22
208,SP Adrenal Complex,,mdhq-default,,True,,,,,,supplement,208,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/208,False,2017-03-29 22:22:22
209,SP Adrenal Dessicated,,mdhq-default,,True,,,,,,supplement,209,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/209,False,2017-03-29 22:22:22
210,SP Albizia Complex,,mdhq-default,,True,,,,,,supplement,210,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/210,False,2017-03-29 22:22:22
211,SP Allerplex Lg 150,,mdhq-default,,True,,,,,,supplement,211,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/211,False,2017-03-29 22:22:22
212,SP Allerplex Small 40,,mdhq-default,,True,,,,,,supplement,212,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/212,False,2017-03-29 22:22:22
213,SP Andrographis Complex,,mdhq-default,,True,,,,,,supplement,213,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/213,False,2017-03-29 22:22:22
214,SP Arginex,,mdhq-default,,True,,,,,,supplement,214,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/214,False,2017-03-29 22:22:22
215,SP Ashwaganda 1-1,,mdhq-default,,True,,,,,,supplement,215,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/215,False,2017-03-29 22:22:22
216,SP Astragalus,,mdhq-default,,True,,,,,,supplement,216,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/216,False,2017-03-29 22:22:22
217,SP Astragalus 90Tabs,,mdhq-default,,True,,,,,,supplement,217,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/217,False,2017-03-29 22:22:22
218,SP Bacopa Complex,,mdhq-default,,True,,,,,,supplement,218,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/218,False,2017-03-29 22:22:22
219,SP Bacopa Liquid,,mdhq-default,,True,,,,,,supplement,219,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/219,False,2017-03-29 22:22:22
